Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
0,ag_news,46.40666667,7425,14,161,3.883216169,14.25440781,4257.316466,0,0,0.38604927,4,1.517387474,0.85,4,0.5,0.53,Nan,0.16
1,amazon_review_polarity,97.98777778,8984,17,283,2.533573764,19.65325513,17648.62311,3.389670029,2,0,2,1,0.69,2,0.41,0.6,0.85,0.21
2,yelp_review_polarity,192.5877778,9222,5,1372,2.626371329,18.79084571,16874.17945,0,0,0,2,1,0.98,2,0.51,0.83,Nan,0.28
3,amazon_review_polarity,101.3833333,9026,16,265,2.603338859,19.20357778,17244.81284,0,0,0,2,1,0.56,2,0.54,0.69,0.84,0.35
4,yahoo_answers,55.66444444,6114,3,501,6.301625417,9.558607389,945.240064,0,0,0.30090407,10,1.78946921,0.99,10,0.84,0.87,Nan,0.48
5,dbpedia,66.21777778,9675,11,219,7.851366792,7.842463636,534.4940601,0,0,0.095966226,14,2.767681367,0.94,14,0.37,0.41,0.7,0.16
6,amazon_review_polarity,102.1155556,9273,21,373,2.554052279,19.77986253,17762.31655,3.265677591,2,0,2,1,0.63,2,0.58,0.77,0.85,0.37
7,amazon_review_polarity,98.66444444,8930,19,268,2.614728302,19.25634785,17292.20037,0,0,0,2,1,0.81,2,0.57,0.78,0.86,0.37
8,amazon_review_full,103.3511111,9061,15,284,4.2635669,13.1278568,2937.357959,0,0,0.29361011,5,2.351147223,0.84,5,0.77,0.97,Nan,0.62
9,ag_news,46.30666667,7491,16,205,3.917844212,14.19605148,4239.887375,3.430971794,2,-0.191273014,4,1.651001388,1,4,0.5,0.51,Nan,0.14
10,amazon_review_polarity,100.7666667,9175,16,509,2.573154327,19.29788721,17329.50271,0,0,0,2,1,0.76,2,0.6,0.77,0.81,0.32
11,dbpedia,65.16777778,9469,7,147,7.744115797,7.803812138,531.8598119,0,0,0.109181179,14,2.074995395,0.94,14,0.45,0.47,0.76,0.2
12,dbpedia,66.81888889,9602,5,175,7.83910652,7.817794444,532.8127598,0,0,0.253038915,14,1.753249647,0.92,14,0.41,0.49,0.71,0.13
13,yelp_review_polarity,190.0655556,9159,7,1493,2.631698898,18.73366918,16822.83492,0,0,0,2,1,0.66,2,0.47,0.83,Nan,0.21
14,dbpedia,64.92555556,9469,11,350,7.753892505,7.868617987,536.2765797,0,0,-0.324404902,14,2.021256413,0.95,14,0.38,0.42,0.75,0.12
15,dbpedia,67.92111111,9708,12,284,7.742568699,7.859671294,535.6668282,0,0,0.487934101,14,2.663147979,0.94,14,0.36,0.45,Nan,0.23
16,dbpedia,67.36555556,9645,11,641,7.847802738,7.758037269,528.7400785,0,0,0.134231211,14,1.815644473,0.9,14,0.42,0.43,0.68,0.1
17,amazon_review_polarity,101.18,9154,13,267,2.536805776,19.68174556,17674.20751,0,0,0,2,1,0.55,2,0.53,0.8,Nan,0.26
18,yelp_review_polarity,185.1644444,9085,8,1406,2.644350193,18.67153735,16767.04054,0,0,0,2,1,0.77,2,0.46,0.72,Nan,0.24
19,dbpedia,65.92,9624,13,138,7.751833386,7.821062659,533.0355012,0,0,-0.610264435,14,3.021640037,0.92,14,0.36,0.43,Nan,0.18
20,dbpedia,67.90111111,9698,11,210,7.811799113,7.814072684,532.5591075,0,0,1.279534174,14,1.902350202,0.94,14,0.35,0.42,0.71,0.15
21,dbpedia,65.75333333,9634,9,154,7.778747913,7.861039513,535.7600776,0,0,1.066992528,14,1.841024538,0.91,14,0.38,0.46,Nan,0.13
22,yelp_review_polarity,188.1811111,9326,5,1238,2.631577665,18.97620154,17040.62898,0,0,0,2,1,0.57,2,0.45,0.73,Nan,0.21
23,dbpedia,67.12777778,9669,8,194,7.781337687,7.851633034,535.1189898,0,0,0.856505275,14,3.887488756,0.96,14,0.37,0.44,Nan,0.12
