,Gradient Boosting,Linear Regression,MLP,Random Forest
RMSE_MEAN,0.16033316232925485,0.32061143573626205,5.868823938605685,0.14723107131274618
RMSE_MAX,0.3062464847432044,0.7808040132273187,24.642784271878504,0.2900403492542986
RMSE_MIN,0.06043746046474284,0.09474255538952515,1.6715341937452346,0.07205267257028769
RMSE_VAR,0.005317657297597637,0.06657507476283664,21.97463034589296,0.0053941734321998605
R2_MEAN,-2.7107785286760526,-16.89416524527843,-6929.539823665161,-2.1107921462883388
R2_MAX,0.5565919474173646,0.5924037405855354,-191.38068280694128,0.6632280056019886
R2_MIN,-14.197522790718008,-97.79037919296606,-82882.59123057789,-12.713920339629077
R2_VAR,16.008290986611648,726.2495577403428,254650886.39288738,14.130630010124458
MAE_MEAN,0.14070227320484388,0.2898770046061975,3.9674495309678375,0.12683435935397333
MAE_MAX,0.29192285632289033,0.7449941838257911,21.009424740554092,0.2693999999999999
MAE_MIN,0.04687496705550831,0.07495833786732325,1.100916910261008,0.05925000000000012
MAE_VAR,0.004805835713923067,0.057004279993978606,13.648677805510475,0.004629759247261454
EVS_MEAN,-0.2316192447575397,-2.4101248501098107,-3781.923229253912,-0.31201334201757797
EVS_MAX,0.7834622455264019,0.8105924289577658,-58.28277940541512,0.8093217672062932
EVS_MIN,-2.544111890737412,-10.982511994375015,-22638.101235384507,-2.5482735499442253
EVS_VAR,0.6294067454881322,13.89382801512064,27075055.41708016,0.7507641832397766
MAPE_MEAN,0.21761550561700896,0.40980452968322956,6.798024376616664,0.19316969751075205
MAPE_MAX,0.4145505838793128,1.0654295527053794,37.3721099059393,0.3561287628628604
MAPE_MIN,0.0808455984919473,0.12057014999810574,1.569053637121843,0.09082508616958797
MAPE_VAR,0.00976443487290253,0.09074352090549272,44.8219202187463,0.00703110207966845
