,Gradient Boosting,Linear Regression,MLP,Random Forest
RMSE_MEAN,0.1512480395245172,0.14122404098615052,3.7346158113304875,0.15413177841039172
RMSE_MAX,0.1653972783735939,0.14122404098615168,4.7089665962846965,0.1582716170445755
RMSE_MIN,0.1388157956071549,0.14122404098614932,2.8559127569793223,0.14916149840930717
RMSE_VAR,2.2882328652925935e-05,1.4138232653133389e-31,0.08032175550777187,3.151084864765625e-06
R2_MEAN,0.5456433884274051,0.6042686884746516,-277.3356936419233,0.5285614135230149
R2_MAX,0.6176501545403947,0.6042686884746584,-160.83521111068657,0.5585346513223197
R2_MIN,0.45719996905070137,0.6042686884746451,-438.98144869862347,0.502962421309253
R2_VAR,0.0008273131141274471,4.4294710682935076e-30,1923.2417634032072,0.00011784417817548362
MAE_MEAN,0.11847187569102036,0.1165446784824478,2.3552406559015626,0.1175787079600817
MAE_MAX,0.13085453122838203,0.11654467848244844,3.738944428892692,0.12035759637188212
MAE_MIN,0.10709216977399898,0.11654467848244707,1.7138844468800696,0.11504444444444444
MAE_VAR,2.041629748176782e-05,5.747089365731377e-32,0.1332290919501493,1.2062101264301088e-06
EVS_MEAN,0.5488812846507736,0.6221364615601752,-255.97262478879426,0.5338334346426896
EVS_MAX,0.6205899267758388,0.6221364615601807,-145.09960120740104,0.562552199661898
EVS_MIN,0.4573536238448006,0.6221364615601691,-414.7949268639929,0.5090512706991075
EVS_VAR,0.0008811177325339889,3.805668079890475e-30,1853.8562747881415,0.0001094505543550474
MAPE_MEAN,15418067771940.072,15704498034234.248,229413584492687.97,12984590257232.572
MAPE_MAX,16700644361319.184,15704498034234.582,324612681905262.6,13370891138585.723
MAPE_MIN,14201034111902.494,15704498034233.955,142551964933014.4,12466086315490.42
MAPE_VAR,1.8748302402398425e+23,0.010745888889426052,9.898263538867378e+26,2.9913346112972902e+22
