Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
247,yelp_review_full,179.3604207,9423,6,1225,0.629690701,1.493626965,388.7164176,1.894714736,2,1.560373795,5,1.276238793,0.88,5,0.42,0.89,,0.59
87,amazon_review_full,108.950049,9477,15,644,0.523861937,2.082495485,528.9538532,2.445355792,3,1.042671571,5,1.437752748,0.91,5,0.7,0.99,,0.71
69,yelp_review_full,186.1198801,9513,5,1250,0.639145517,1.48325908,369.3315108,2.031766261,3,1.979689405,5,1.39148265,0.95,5,0.55,0.88,,0.65
35,yelp_review_polarity,183.684262,9482,7,1255,0.880830317,1.525358305,1557.390829,1.962267629,2,0,2,1,0.74,2,0.22,0.39,,0.12
195,yelp_review_polarity,183.0312195,9601,6,1321,0.897273259,1.505150208,1539.768663,2.099097983,2,0,2,1,0.85,2,0.26,0.54,,0.09
350,yelp_review_full,176.5162214,9364,4,1360,0.629771948,1.487774903,387.937306,2.115487905,3,1.012800489,5,1.64310801,0.81,5,0.46,0.98,,0.54
47,yelp_review_polarity,180.9078295,9415,7,1212,0.877928791,1.524079505,1534.748062,1.879258045,2,0,2,1,0.69,2,0.29,0.6,,0.14
352,amazon_review_full,106.556196,9637,15,663,0.523197505,2.084288443,539.8307069,2.313110965,5,1.014296004,5,2.250097633,0.99,5,0.7,0.98,,0.72
430,amazon_review_polarity,105.2003891,9520,17,644,0.691357758,2.127662216,2182.981433,2.089326785,5,0,2,1,0.64,2,0.5,0.66,,0.3
186,dbpedia,77.98743961,10758,11,643,1.2278764,1.485620689,116.6783633,2.680696218,2,0.722030367,14,4.409821937,0.94,14,0.39,0.45,,0.1
86,yahoo_answers,74.17926357,7220,3,1002,0.689314721,2.509661919,284.9860535,2.285864258,7,0.822252208,10,3.280190898,0.87,10,0.83,0.9,,0.53
130,amazon_review_polarity,108.5272374,9658,17,643,0.690334971,2.106321979,2161.08635,2.143285603,9,0,2,1,0.55,2,0.5,0.72,,0.3
330,banking77__4,34.03222656,3161,6,645,0.628112573,1.786863816,607.5336974,2.160832811,2,1.36031363,4,2.172270006,0.74,4,0.89,0.95,,0.64
236,yelp_review_full,186.4425121,9358,8,1211,0.636222881,1.490656361,383.8440128,1.755549727,2,1.936491673,5,1.199134549,0.87,5,0.4,0.86,,Nan
13,yelp_review_polarity,186.9307992,9525,7,1493,0.904486969,1.480636557,1516.171834,1.88336318,2,0,2,1,0.95,2,0.26,0.51,,0.14
370,amazon_review_full,105.5977011,9719,16,643,0.523574702,2.088935713,542.6010514,2.573830247,4,0.486162508,5,1.795501024,0.85,5,0.67,1,,0.75
320,banking77__4,31.12610837,2937,5,648,0.620189198,1.785410314,601.6832758,2.29370875,2,0.749789629,4,1.452897116,0.96,4,0.85,0.92,,0.6
250,banking77__10,33.08644401,2967,5,645,0.733317401,1.617729121,181.1856616,1.862122991,4,0.638992379,10,2.659616084,0.94,10,0.91,0.93,,0.84
382,dbpedia,76.18774319,10766,11,641,1.221898133,1.509427516,117.7353463,1.775301854,16,0.904473219,14,5.281085815,0.93,14,0.37,0.43,,0.1
374,tweet_eval_emoji_5,38.11470588,5536,5,651,0.4462215,2.867106278,727.5282182,2.39046071,2,1.193335926,5,2.345361914,0.73,5,0.58,0.7,,0.67
237,yahoo_answers,70.97396336,7195,3,647,0.660534631,2.548953271,290.8638899,2.361241674,2,1.07423801,10,2.467721611,0.96,10,0.8,0.89,,0.56
313,banking77__4,33.05571848,3072,6,647,0.614993091,1.823062793,619.2336621,2.183084083,2,-0.294159523,4,1.106567175,0.99,4,0.86,0.94,,0.68
266,tweet_eval_emoji_10,41.12250712,5684,5,642,0.52542996,2.617168952,303.3008019,1.572874626,6,0.279308522,10,2.686799505,0.96,10,0.54,0.66,,0.68
299,banking77__4,35.19825073,3225,5,647,0.634336401,1.787336351,610.6732533,2.276756916,2,-0.322801107,4,1.578224038,0.78,4,0.87,0.91,,0.69
84,ag_news,60.88184438,8495,15,641,0.78997183,2.189644029,756.8869526,2.788599505,2,-0.105365037,4,1.074819884,0.94,4,0.68,0.7,,0.18
130,amazon_review_polarity,107.3415597,9645,17,647,0.692056347,2.104371653,2127.519742,2.913528966,2,0,2,1,0.57,2,0.56,0.68,,0.35
297,dbpedia,74.80999021,10510,6,643,1.222733552,1.466580649,113.6035934,1.781417674,15,1.145819276,14,5.812988986,0.96,14,0.4,0.47,,0.09
186,dbpedia,77.88189739,10682,11,643,1.227217924,1.48978068,116.7758856,1.676164506,18,0.716041965,14,4.267237199,0.96,14,0.4,0.49,,0.1
322,banking77__4,36.66251198,3369,5,657,0.626137573,1.820617938,630.540679,2.262316541,2,0.206702748,4,1.552651293,0.95,4,0.9,0.96,,0.71
392,banking77__10,35.81370656,3246,6,645,0.72530169,1.620186964,184.7013139,2.217169783,2,0.908969259,10,2.560195513,0.91,10,0.88,0.93,,0.79
435,banking77__10,32.52357564,2913,6,658,0.73488702,1.595630963,178.7106679,2.149088509,2,1.394554284,10,3.094617937,0.98,10,0.89,0.93,,Nan
300,banking77__4,33.00596421,3156,6,661,0.624506143,1.779916379,594.4920707,2.084237901,2,1.196958098,4,2.014824854,0.81,4,0.94,0.94,,0.66
372,amazon_review_full,105.8504314,9465,11,650,0.527432456,2.084444424,540.9133281,2.311500359,4,0.552812155,5,1.641023751,0.83,5,0.69,0.96,,0.65
150,yelp_review_polarity,186.5821042,9685,8,1391,0.884856532,1.530359999,1553.315399,1.736205781,3,0,2,1,0.8,2,0.22,0.5,,0.11
62,dbpedia,77.33172147,10917,11,642,1.219217377,1.502975133,117.9257412,1.882232655,13,1.138599642,14,4.685586809,0.98,14,0.39,0.4,,0.07
340,banking77__4,31.91043307,2904,5,658,0.637108051,1.77486922,598.7225503,2.118190324,2,0.626330432,4,1.683857883,0.72,4,0.92,0.93,,0.68
60,amazon_review_polarity,109.1217391,9662,18,646,0.690887712,2.138352302,2208.917928,2.307877752,2,0,2,1,0.56,2,0.52,0.72,,0.26
45,ag_news,58.8204878,8442,15,646,0.782028482,2.190359962,745.452507,2.765722467,2,-0.169804604,4,1.355343492,0.93,4,0.64,0.73,,0.17
450,banking77__5,32.31719368,2958,5,650,0.65331191,1.732684226,436.2032538,2.198075347,2,1.628384084,5,1.269516105,0.79,5,0.87,0.93,,0.84
221,yelp_review_full,185.909002,9486,5,1318,0.634674772,1.5083705,383.5031995,1.858838293,2,0.406695183,5,1.632610685,0.9,5,0.48,0.9,,Nan
254,ag_news,55.96939783,8098,13,639,0.779856441,2.179789092,733.1357314,2.901324002,2,-0.290020947,4,1.744519172,0.92,4,0.57,0.6,,0.2
246,yahoo_answers,72.32533589,7349,3,640,0.679779566,2.520621165,289.0312269,1.920895168,6,1.161030215,10,2.348428516,0.88,10,0.81,0.93,,0.59
4,yahoo_answers,68.42913001,6959,4,642,0.686559543,2.567025902,288.9330265,2.06253631,5,1.060381222,10,2.796440354,0.99,10,0.78,0.91,,0.58
87,amazon_review_full,107.4724409,9445,18,639,0.523563126,2.077888062,525.1862077,2.072453524,2,1.000531887,5,1.339044221,0.81,5,0.65,0.93,,0.7
7,amazon_review_polarity,104.8348259,9493,15,648,0.701197047,2.097825479,2104.118955,2.379795961,5,0,2,1,0.72,2,0.53,0.77,,0.39
214,amazon_review_full,108.4045054,9634,16,661,0.517372275,2.078529374,527.9464611,2.20470801,5,1.938906724,5,1.322429112,0.92,5,0.72,0.99,,0.72
210,yelp_review_full,191.1688805,9447,8,1268,0.612477001,1.500417787,393.4845646,1.897574479,2,1.58812176,5,1.567284833,0.97,5,0.43,0.93,,Nan
141,yelp_review_polarity,191.1202346,9767,9,1711,0.902100915,1.4755887,1506.576063,1.807352086,2,0,2,1,0.69,2,0.23,0.45,,0.15
394,yelp_review_full,181.4691943,9456,4,1406,0.614702302,1.518696417,398.6578093,2.021016816,3,1.798490789,5,1.366992279,0.9,5,0.4,0.9,,0.54
165,ag_news,58.57225994,8335,14,648,0.779632796,2.195755195,751.6801949,2.619077453,2,-0.106377628,4,1.211830072,0.73,4,0.67,0.72,,0.22
91,yelp_review_full,183.9533981,9466,3,1376,0.629609379,1.515807796,388.4257478,1.919012354,2,1.558241958,5,1.225127181,0.89,5,0.39,0.92,,0.5
110,yelp_review_polarity,185.3300199,9436,5,1301,0.885963117,1.513244065,1519.297041,1.731976218,4,0,2,1,0.89,2,0.24,0.44,,0.13
5,dbpedia,78.09353905,10840,11,639,1.215803092,1.514891609,119.2103166,1.795538739,15,1.009431551,14,4.96146348,0.95,14,0.35,0.43,,0.14
231,yelp_review_full,189.671785,9574,3,1256,0.629488792,1.490981501,386.5369542,1.996331846,2,2.0096418,5,1.514784553,0.77,5,0.57,0.94,,Nan
31,amazon_review_polarity,108.9903007,9885,15,646,0.690632975,2.097386064,2158.210259,2.618747504,3,0,2,1,0.61,2,0.47,0.79,,0.33
443,ag_news,59.76138614,8354,17,648,0.795945987,2.162035844,725.0026862,2.560823085,2,0.385844112,4,1.461493867,0.84,4,0.63,0.64,,0.21
256,tweet_eval_emoji_10,40.15911283,5572,5,643,0.512418774,2.657936123,303.3000442,1.690251036,7,0.533586153,10,2.276644566,0.96,10,0.57,0.74,,0.69
335,banking77__4,34.97118156,3306,5,646,0.646016657,1.808898845,625.2760339,2.235106123,2,0.322524714,4,1.50255623,0.8,4,0.92,0.96,,0.72
101,ag_news,56.72039801,8259,16,647,0.790211231,2.183072157,728.4184099,2.506570549,3,1.061400064,4,2.007311249,0.86,4,0.63,0.64,,0.21
237,yahoo_answers,68.25728155,7103,3,645,0.659146257,2.556796425,289.7702614,2.371688796,2,1.043158102,10,2.648011978,0.95,10,0.8,0.89,,0.63
284,banking77__10,35.91153846,3219,5,646,0.733138351,1.624327791,185.8952917,2.08060372,2,0.709114351,10,3.112536121,0.95,10,0.89,0.93,,0.82
374,tweet_eval_emoji_5,42.19808612,5720,5,647,0.459862477,2.834196188,736.8910088,2.04224027,7,1.429381966,5,1.461745308,0.81,5,0.61,0.74,,0.63
296,tweet_eval_emoji_5,38.93050193,5554,5,644,0.438574351,2.886409784,743.9721218,1.84937909,6,0.145692879,5,2.144991906,0.9,5,0.71,0.91,,0.68
84,ag_news,59.64779271,8376,15,646,0.79022767,2.191972178,758.4223735,2.777178194,2,0.204980015,4,1.221801871,0.99,4,0.63,0.62,,0.24
365,amazon_review_polarity,108.0380859,9633,16,662,0.694781394,2.105166976,2151.48065,2.370180186,3,0,2,1,0.66,2,0.63,0.78,,0.33
377,dbpedia,79.29462572,11053,10,642,1.229224312,1.493956944,118.1375183,1.931151849,14,1.106681039,14,5.046778016,0.92,14,0.37,0.41,,0.08
118,yelp_review_polarity,182.5482625,9602,5,1259,0.886181276,1.518013618,1569.626081,1.835627795,2,0,2,1,1,2,0.12,0.27,,0.08
21,dbpedia,78.44274809,10827,9,647,1.22672973,1.496561764,119.0342203,1.863209979,14,1.082907382,14,5.886593231,0.91,14,0.36,0.43,,0.09
93,amazon_review_polarity,104.3818359,9443,14,661,0.701946078,2.103020362,2149.28681,2.227918399,7,0,2,1,0.9,2,0.53,0.67,,0.27
399,tweet_eval_emoji_5,39.58959538,5594,6,646,0.44174647,2.884893415,745.0237245,2.092357338,5,1.389186312,5,1.380368005,0.84,5,0.68,0.82,,0.83
117,amazon_review_polarity,106.3003876,9626,15,641,0.688019038,2.141633492,2205.882497,2.274758139,6,0,2,1,0.64,2,0.44,0.71,,0.35
61,yelp_review_polarity,173.9183673,9368,5,1445,0.888385376,1.533559065,1574.96516,2.019537241,2,0,2,1,0.61,2,0.2,0.44,,0.16
328,banking77__4,36.65122873,3327,6,641,0.62589616,1.853633517,651.2432424,2.093536689,4,0.336993574,4,1.173243336,0.75,4,0.93,0.96,,0.77
322,banking77__4,34.07101167,3193,5,644,0.619128599,1.807335094,616.903712,2.234630528,2,-0.15430335,4,1.374884421,0.74,4,0.89,0.93,,0.63
142,dbpedia,77.37814313,10647,12,640,1.237675746,1.455068346,114.166901,2.003509885,12,1.140160595,14,5.856550524,0.91,14,0.42,0.47,,0.12
41,dbpedia,77.4459725,10650,12,1031,1.23150794,1.474741503,113.8954207,2.71552751,2,1.088550165,14,5.454739546,0.93,14,0.32,0.39,,0.09
38,yelp_review_polarity,188.8943798,9745,7,1131,0.878757205,1.523579588,1569.286976,1.734815628,2,0,2,1,0.76,2,0.24,0.44,,0.11
359,tweet_eval_emoji_4,37.46914789,5334,5,641,0.438973647,2.946188592,998.7579326,2.014366995,6,0.826697621,4,1.813093059,0.97,4,0.62,0.78,,0.62
158,dbpedia,80.52879079,10905,12,648,1.229298864,1.477159328,116.8092146,2.654773117,2,0.844069838,14,5.627938933,0.92,14,0.34,0.34,,0.12
245,yelp_review_full,186.7201566,9361,5,1270,0.632035628,1.489181814,378.6244762,1.85092212,2,1.882041785,5,2.264044645,0.79,5,0.43,0.94,,0.71
384,banking77__2,31.47647648,2829,6,656,0.731596444,1.790788417,1785.416052,2.102998031,2,0,2,1,1,2,0.82,0.87,,0.44
386,yelp_review_full,184.9855352,9409,5,1229,0.613020404,1.506117493,388.5783131,1.733379105,3,1.587631186,5,1.679141663,0.76,5,0.51,0.92,,0.52
426,ag_news,60.09444985,8425,11,661,0.787325617,2.188900178,746.4149607,2.493814634,2,0.068238629,4,1.053111494,0.86,4,0.54,0.54,,0.21
7,amazon_review_polarity,106.3761905,9566,16,650,0.693513264,2.11766522,2219.313151,2.266275212,6,0,2,1,0.55,2,0.54,0.76,,0.3
377,dbpedia,78.12755599,10859,10,646,1.228544039,1.485979361,115.792084,2.53741798,2,1.108159254,14,4.066859217,0.89,14,0.37,0.49,,0.11
305,banking77__4,36.64671815,3192,5,651,0.639741141,1.792124623,616.4908703,2.255427029,2,0,4,1.093056986,0.95,4,0.84,0.92,,0.75
364,banking77__4,33.96608527,3049,5,661,0.621962695,1.787787733,612.6152633,2.248861489,2,0.193359345,4,1.058457728,0.99,4,0.85,0.93,,0.76
248,amazon_review_full,108.3058824,9644,18,660,0.510158279,2.097908209,532.344208,2.217351415,6,0.932234634,5,3.045574086,0.82,5,0.63,0.98,,0.79
334,banking77__4,32.98249027,3148,5,646,0.622921673,1.805777997,616.3722228,1.988394721,3,0.133349797,4,1.616588127,0.74,4,0.88,0.95,,0.7
201,yelp_review_full,180.227451,9379,6,1235,0.643966552,1.507430005,382.5103638,1.924898109,3,2.067214063,5,2.209699516,0.78,5,0.51,0.92,,0.59
303,banking77__4,33.95105566,3314,5,645,0.629035859,1.81326708,627.3904095,2.209295337,2,0.231300539,4,1.302125321,0.74,4,0.9,0.92,,Nan
410,tweet_eval_emoji_4,36.63392857,5383,5,644,0.430422209,2.894202695,968.5931685,1.849887186,6,0.688508159,4,1.7297633,0.88,4,0.63,0.79,,0.63
216,yelp_review_full,186.1440922,9600,6,1375,0.621252301,1.499531266,388.3785979,1.737019102,2,0.800424424,5,1.5520907,0.77,5,0.57,,,Nan
73,yelp_review_polarity,186.3422307,9647,5,1194,0.883801965,1.507159906,1577.996421,1.949733569,3,0,2,1,0.51,2,0.12,0.3,,0.15
255,banking77__2,33.73754789,3214,4,639,0.710846941,1.885272627,1964.454077,2.144968262,2,0,2,1,0.62,2,0.48,,,Nan
229,yahoo_answers,70.08632396,6900,3,880,0.663227722,2.56761045,291.281141,2.27810445,5,1.045517781,10,2.843663561,0.92,10,0.79,0.89,,0.55
341,banking77__4,35.22736031,3350,6,645,0.63526741,1.811680146,624.4257571,2.242028488,2,-0.344214195,4,1.103238838,0.97,4,0.83,0.88,,0.65
167,dbpedia,80.11882129,10941,11,644,1.240130653,1.47310633,117.6218746,2.71204732,2,1.016279969,14,6.270992629,0.95,14,0.33,0.39,,0.06
270,tweet_eval_emoji_5,40.79980469,5637,5,665,0.449495031,2.868556856,730.764859,2.193200944,2,1.844751582,5,2.0153963,0.81,5,0.63,0.77,,0.61
204,yahoo_answers,69.051,7004,3,649,0.674197617,2.571633822,282.8797204,2.680224779,4,0.910896298,10,3.514629302,0.95,10,0.78,0.85,,0.55
392,banking77__10,33.40524781,3125,6,652,0.720319573,1.626998098,184.2123402,2.339213936,2,0.870470936,10,2.596925067,0.91,10,0.89,0.94,,0.86
248,amazon_review_full,109.5825147,9649,18,643,0.513481603,2.086615537,528.4353849,2.303089183,5,0.814711342,5,2.161082438,0.87,5,0.71,0.96,,0.66
55,amazon_review_polarity,106.8359073,9698,14,648,0.690550698,2.112547328,2184.373937,2.553915018,4,0,2,1,0.7,2,0.65,0.82,,0.28
364,banking77__4,34.48019324,3126,5,651,0.624907825,1.788026105,614.4849714,2.249698916,2,0.392076525,4,1.174976963,0.84,4,0.87,0.94,,0.73
281,yelp_review_full,185.1511628,9407,6,1028,0.633182682,1.49135217,382.9046698,1.850533142,2,1.108553281,5,1.323081476,0.79,5,,,,Nan
360,tweet_eval_emoji_5,39.19080235,5383,6,646,0.457830314,2.786452916,708.455654,2.102232784,7,0.38353721,5,2.734802557,0.81,5,0.5,0.74,,0.64
253,banking77__4,30.69466403,2834,5,651,0.622596628,1.769914181,594.6911648,2.262926895,2,-0.100475594,4,1.093174177,0.74,4,0.88,0.95,,0.64
16,dbpedia,78.43731491,10665,11,648,1.23983636,1.446178061,111.1332218,1.83574057,14,1.007646809,14,5.397777507,0.91,14,0.38,0.41,,0.11
408,tweet_eval_emoji_4,41.96499527,5702,5,649,0.451885989,2.903120885,1018.995431,1.898945057,7,1.577951355,4,2.321846833,0.79,4,0.7,0.82,,0.59
35,yelp_review_polarity,183.3585086,9485,7,1255,0.882847938,1.525874369,1593.012841,1.872365447,2,0,2,1,0.87,2,0.1,0.22,,0.08
264,tweet_eval_emoji_10,42.52394636,5676,5,659,0.488314477,2.682481649,308.1873361,2.055227507,4,0.522142974,10,2.272339299,0.96,10,0.72,,,Nan
