Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
101,ag_news,60.52716873,8512,16,645,0.775487453,2.226713481,775.6385291,2.57876179,3,-0.055709669,4,1.027103611,0.83,4,0.44,0.53,,0.16
25,yelp_review_polarity,178.1631068,9610,6,1333,0.880411617,1.539760629,1582.873926,1.888322736,2,0,2,1,0.53,2,0.24,0.49,,0.13
216,yelp_review_full,186.820365,9656,6,1375,0.622354352,1.497204069,387.775854,1.812959483,3,0.769742887,5,1.885959934,0.79,5,0.63,0.83,,Nan
144,ag_news,59.93000959,8449,16,642,0.771815007,2.211517078,765.9220813,2.691153785,2,0.075264413,4,1.86324947,0.76,4,0.36,0.42,,0.15
233,amazon_review_full,103.7673509,9557,18,651,0.524635792,2.083326121,530.2064979,2.837627437,2,2.028023629,5,1.18438054,0.92,5,0.77,0.98,,0.86
24,amazon_review_polarity,105.9645254,9441,15,639,0.694397782,2.128176666,2215.431909,2.466559532,4,0,2,1,0.94,2,0.54,0.77,,0.26
139,yelp_review_polarity,173.7521449,9354,6,1240,0.878074099,1.533138122,1605.195614,1.971760191,3,0,2,1,0.67,2,0.24,0.57,,0.13
118,yelp_review_polarity,182.1163012,9640,5,1259,0.888522514,1.519319009,1590.727002,1.835734357,2,0,2,1,0.51,2,0.29,0.67,,0.08
88,amazon_review_polarity,106.144636,9539,15,644,0.678735045,2.140021003,2229.901885,2.783173096,2,0,2,1,0.99,2,0.53,0.77,,0.28
8,amazon_review_full,108.873062,9679,15,654,0.530511614,2.082043696,534.564719,2.253339998,7,0.982517744,5,1.338171983,0.85,5,0.79,0.96,,0.84
106,dbpedia,77.51622419,10847,10,648,1.208674671,1.501099489,115.815599,1.916345938,14,1.000874585,14,4.432915345,0.94,14,0.44,0.55,,0.16
314,banking77__4,34.87115385,3263,6,639,0.632812412,1.812014453,625.7489911,2.250484227,2,0,4,1.018590411,0.8,4,0.92,0.97,,0.75
12,dbpedia,77.4084372,10744,5,645,1.223596044,1.480138308,117.1586399,2.611910644,2,0.725589244,14,7.487268206,0.96,14,0.44,0.52,,0.19
403,tweet_eval_emoji_2,39.86801541,5637,5,647,0.476851364,3.038626144,3148.016685,1.717079958,5,0,2,1,1,2,0.34,0.48,,0.18
425,tweet_eval_emoji_2,38.87992315,5526,5,644,0.499303002,2.945180569,3060.042611,2.239447834,3,0,2,1,1,2,0.44,0.59,,0.34
345,banking77__4,35.26985646,3268,7,645,0.62927106,1.819815305,631.4759108,2.264702949,2,0.698309531,4,1.519173254,0.84,4,0.86,0.95,,0.81
193,ag_news,59.10211946,8518,13,643,0.766226952,2.232131167,769.3412088,2.642464194,2,-0.262111217,4,1.492286091,0.89,4,0.4,0.42,,0.13
405,tweet_eval_emoji_2,39.60576923,5630,5,639,0.487438755,3.025108741,3140.062873,2.273900111,2,0,2,1,0.66,2,0.37,0.54,,0.32
268,yahoo_answers,73.15935115,7400,3,1169,0.678962112,2.532693783,292.1040163,2.138366071,6,0.699096391,10,2.830519892,0.99,10,0.77,0.89,,0.5
368,tweet_eval_emoji_14,41.08733205,5574,5,653,0.569371906,2.569184707,203.1632214,1.730243246,6,1.487499806,14,3.300811616,0.88,14,0.64,0.73,,0.69
349,banking77__4,33.86398467,3039,5,649,0.632266806,1.809234913,627.2014364,2.208258392,2,-0.314485451,4,1.395604396,0.84,4,0.89,0.96,,0.8
42,ag_news,58.51581975,8412,10,649,0.785177362,2.186085858,757.1144022,2.334207273,4,0.482871815,4,1.619648934,0.95,4,0.4,0.54,,0.18
95,dbpedia,76.19942474,10618,5,649,1.213807087,1.500352194,118.7586467,1.828675634,15,1.104540972,14,5.534478323,0.94,14,0.43,0.49,,0.17
226,yahoo_answers,68.29355149,7160,3,664,0.671846436,2.594005184,296.5812594,2.568157851,4,0.749501029,10,2.820754946,0.88,10,0.84,0.91,,0.62
255,banking77__2,32.52390244,3143,4,643,0.714761642,1.858094598,1900.830773,2.205081943,2,0,2,1,0.54,2,0.82,0.84,,0.42
306,banking77__4,35.35530086,3228,5,642,0.632025885,1.838909298,639.3274658,1.842174266,4,-0.200650623,4,1.475511755,0.77,4,0.92,0.96,,0.74
354,yelp_review_full,174.5934803,9340,6,1104,0.626352124,1.517373563,393.7584396,1.746775343,2,1.636440481,5,1.987132213,0.78,5,0.68,0.89,,0.69
238,yelp_review_full,180.2807357,9375,4,1152,0.63072152,1.506297431,387.1184398,2.120225512,3,-0.14629263,5,1.855629333,0.92,5,Nan,,,Nan
351,banking77__14,36.64857143,3223,5,642,0.772082411,1.584200073,126.2485597,2.114670193,2,1.36016302,14,4.973337943,0.95,14,0.9,0.93,,0.82
222,amazon_review_full,110.2927536,9756,18,664,0.526768122,2.066152815,532.0343499,2.695793488,3,1.392855755,5,2.566722927,0.93,5,0.8,0.98,,0.88
95,dbpedia,77.75885167,10671,5,639,1.214591307,1.498541103,118.8458367,1.815910866,14,1.115576964,14,5.175547166,0.91,14,0.12,,,Nan
123,dbpedia,77.80828516,10918,13,639,1.209347841,1.514399571,119.2880893,2.680131175,2,1.152919209,14,5.777959527,1,14,0.43,0.46,,0.14
0,ag_news,59.49319066,8475,14,647,0.802231677,2.174097878,742.0920757,2.750972482,2,0.070651826,4,1.996678673,0.92,4,0.42,0.6,,0.2
93,amazon_review_polarity,104.0835763,9489,14,646,0.699654847,2.107837098,2164.748699,2.282302848,6,0,2,1,0.95,2,0.44,0.68,,0.25
172,amazon_review_polarity,106.0549133,9558,11,643,0.676903682,2.160923011,2238.71624,2.372919518,3,0,2,1,0.62,2,0.52,0.75,,0.21
329,banking77__4,34.47669903,3189,6,646,0.624659245,1.790535857,612.3632633,2.240431245,2,0.36226673,4,1.145208607,0.79,4,0.94,0.97,,0.7
20,dbpedia,79.01534036,10848,11,639,1.230908252,1.490939465,118.0135931,2.547138351,2,1.263891321,14,4.537231069,0.97,14,0.36,0.42,,0.09
243,yahoo_answers,67.16184971,7128,3,1139,0.677416979,2.563956343,292.8607911,2.382712728,2,0.990244497,10,2.652026717,0.92,10,0.85,0.93,,0.79
40,ag_news,57.28627451,8345,11,647,0.773640495,2.194249873,743.1192904,2.529621209,4,-0.27142931,4,1.599651589,0.88,4,0.52,0.59,,0.09
367,tweet_eval_emoji_10,40.4452975,5636,5,651,0.499499183,2.695329634,309.0644647,2.221677444,4,0.732298839,10,2.169961089,0.96,10,0.57,0.67,,0.65
409,banking77__10,34.93641618,3171,5,642,0.726364027,1.631394024,186.3414508,2.224863207,2,0.87636147,10,2.889013649,0.91,10,,,,Nan
156,dbpedia,76.15976901,10752,11,639,1.206235258,1.529563136,120.6001703,1.986255147,13,1.344257278,14,4.53894139,0.95,14,0.43,0.5,,0.17
150,yelp_review_polarity,184.9798271,9726,8,1391,0.880246362,1.532525041,1592.293518,1.736476003,3,0,2,1,0.65,2,0.26,0.72,,0.03
37,amazon_review_polarity,109.1908397,9655,15,659,0.689579702,2.120434586,2217.974577,2.971116425,2,0,2,1,0.55,2,0.47,0.72,,0.26
151,yelp_review_polarity,183.7483124,9499,4,1234,0.874606111,1.521119246,1574.35842,2.01041468,2,0,2,1,0.76,2,0.29,0.58,,0.11
356,tweet_eval_emoji_2,41.35372849,5702,5,647,0.485010947,3.035518018,3169.080811,2.196859985,2,0,2,1,1,2,0.44,0.6,,0.29
4,yahoo_answers,70.21685606,7135,4,641,0.694815711,2.546289474,295.9354211,2.045995426,7,1.166865812,10,2.999498572,0.92,10,0.82,0.94,,0.77
357,banking77__4,35.47834456,3240,5,657,0.625989554,1.800776546,621.2679083,2.232707747,2,1.032690792,4,1.822658888,0.81,4,0.93,0.98,,0.69
413,banking77__10,35.51770335,3235,6,645,0.734011513,1.635603482,188.0944004,1.988178489,3,1.430232535,10,3.216902838,0.89,10,0.77,,,Nan
332,banking77__4,34.95949855,3288,5,646,0.628433951,1.8060669,621.8890359,2.263227514,2,0.75067272,4,1.513180919,0.99,4,0.94,0.95,,0.69
448,banking77__5,34.243973,3171,5,642,0.644374436,1.778247255,458.7877917,2.134243969,2,1.35254143,5,2.375286866,0.85,5,0.88,0.89,,0.86
38,yelp_review_polarity,188.8867745,9726,7,1131,0.874472394,1.524103754,1598.784838,1.740628653,2,0,2,1,0.98,2,0.22,0.49,,0.06
48,yahoo_answers,69.24830918,7116,3,648,0.674302143,2.579083635,293.7289695,2.325170504,7,1.510369287,10,3.467376919,0.86,10,0.84,0.9,,0.61
127,ag_news,61.93913043,8546,10,639,0.774036516,2.202120419,756.7953841,2.755096553,2,0.348140693,4,1.245168424,0.73,4,0.53,0.58,,0.18
365,amazon_review_polarity,108.4207493,9671,18,644,0.695036099,2.100805213,2182.736616,2.238533661,6,0,2,1,0.64,2,0.45,0.72,,0.35
444,banking77__5,33.13047712,3094,6,639,0.652356817,1.737572569,443.9497913,2.209015114,2,1.769587324,5,2.403653499,0.85,5,0.89,0.86,,0.84
334,banking77__4,35.10143541,3313,5,648,0.624529251,1.827478527,634.1350488,2.170225747,2,0.137850226,4,1.551922254,0.74,4,0.89,0.94,,0.79
380,banking77__2,33.87115385,3249,5,647,0.712774829,1.849597864,1919.882583,2.226180666,2,0,2,1,0.58,2,0.82,0.83,,0.56
344,banking77__4,32.94741967,3028,6,642,0.63555351,1.785295836,608.78588,2.254231864,2,0.574874162,4,1.760219723,0.77,4,0.86,0.94,,0.78
399,tweet_eval_emoji_5,40.30057803,5725,6,647,0.436438097,2.915365806,752.8932193,2.158478193,4,0.782516458,5,1.578977093,0.81,5,0.47,0.54,,0.59
353,tweet_eval_emoji_10,39.22701149,5544,6,641,0.515696846,2.689960056,309.046522,2.521401755,2,0.354147112,10,2.791746014,0.95,10,0.62,0.7,,0.57
280,yahoo_answers,70.56991321,7254,3,1173,0.675760881,2.568937492,293.1443116,2.915569952,4,0.591553865,10,3.075858141,0.94,10,0.86,0.93,,0.63
40,ag_news,59.38238141,8457,11,646,0.77532761,2.195876482,753.1856333,2.337789863,5,0.567294218,4,1.984494669,0.81,4,0.46,0.48,,0.16
